id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
750000,32,blue-collar,married,secondary,no,1397,yes,no,unknown,21,may,224,1,-1,0,unknown
750001,44,management,married,tertiary,no,23,yes,no,cellular,3,apr,586,2,-1,0,unknown
750002,36,self-employed,married,primary,no,46,yes,yes,cellular,13,may,111,2,-1,0,unknown
750003,58,blue-collar,married,secondary,no,-1380,yes,yes,unknown,29,may,125,1,-1,0,unknown
750004,28,technician,single,secondary,no,1950,yes,no,cellular,22,jul,181,1,-1,0,unknown
750005,43,management,divorced,unknown,no,3025,no,no,cellular,21,jul,89,2,-1,0,unknown
750006,26,services,single,primary,no,3511,no,no,cellular,29,jan,816,3,-1,0,unknown
750007,60,management,married,tertiary,no,79,no,yes,cellular,9,jul,707,1,-1,0,unknown
750008,45,blue-collar,married,primary,no,16,no,no,telephone,6,feb,173,1,-1,0,unknown
750009,41,management,married,tertiary,no,46,no,no,cellular,18,aug,657,4,-1,0,unknown
750010,32,services,single,secondary,no,0,yes,no,telephone,9,jul,51,1,-1,0,unknown
750011,30,technician,divorced,secondary,no,839,no,no,cellular,18,nov,166,3,113,3,other
750012,40,blue-collar,married,secondary,no,765,yes,yes,unknown,21,may,956,1,-1,0,unknown
750013,52,technician,divorced,secondary,no,-1,no,yes,cellular,8,jul,121,2,-1,0,unknown
750014,51,retired,married,primary,no,2226,yes,no,unknown,14,may,651,1,-1,0,unknown
750015,51,self-employed,married,tertiary,no,1173,yes,no,cellular,21,nov,484,2,-1,0,unknown
750016,36,technician,single,secondary,no,-330,yes,no,unknown,27,may,88,2,-1,0,unknown
750017,31,blue-collar,married,secondary,no,730,no,no,cellular,5,feb,135,1,-1,0,unknown
750018,31,management,single,tertiary,no,151,yes,no,cellular,22,jul,612,3,-1,0,unknown
750019,46,entrepreneur,married,tertiary,no,313,yes,no,cellular,15,jul,538,3,-1,0,unknown
750020,30,admin.,married,secondary,no,5132,yes,no,cellular,20,nov,536,2,184,1,failure
750021,59,retired,married,secondary,no,651,no,no,cellular,2,feb,467,1,-1,0,unknown
750022,56,technician,married,secondary,no,778,no,no,unknown,19,jun,75,1,-1,0,unknown
750023,54,self-employed,married,tertiary,no,0,no,no,cellular,5,may,76,2,-1,0,unknown
750024,32,blue-collar,married,secondary,no,-143,yes,no,unknown,13,may,233,1,-1,0,unknown
750025,37,admin.,married,secondary,no,877,yes,yes,unknown,8,may,125,1,-1,0,unknown
750026,30,blue-collar,married,secondary,no,362,yes,no,unknown,20,may,1156,1,-1,0,unknown
750027,33,entrepreneur,single,primary,no,0,yes,no,unknown,8,may,144,2,-1,0,unknown
750028,44,self-employed,divorced,secondary,no,4519,yes,no,cellular,20,nov,638,1,-1,0,unknown
750029,32,housemaid,married,secondary,no,3733,no,no,cellular,13,sep,272,4,186,1,success
750030,36,management,married,tertiary,no,1780,no,no,cellular,11,aug,489,2,-1,0,unknown
750031,36,blue-collar,single,primary,no,0,no,no,unknown,12,jun,39,8,-1,0,unknown
750032,31,blue-collar,single,secondary,no,-291,yes,no,cellular,15,may,135,1,368,4,failure
